,features_string_format
339,kaway kaway natuwa natuwa
263,idol mark musta naic cavite
158,best xmas gift ever hehehe
2059,amnesia mama
2329,ipapahamak kabataan wala poder magulang puro galit nasa puso
1069,tau
338,nice idol
1183,nabudol hindi nman binoto
2297,non masabi hanap butas tapos tahol tahol haha
1660,burn hell nagawa
2071,buti mtatalino bumoto bbm inay patay tayong nkktakot cya msama plano
1901,yng tumututol ayw yumaman pilipinas
1550,hoy
1830,ndi kalevel wag mong ipilit
655,loyalista marcos loyalista marcosduterte ilocos region
1351,avoid depression
285,tama idol
1858,shet
2327,trot sobrang plstic lutangars
1587,hayaan mona talunan pinklawan
653,korek
1058,ekis
466,hindi batas militar nsa pagbbgo
681,diba nanalo prrd maygkaka martial law ulit nagkaron marawi kaguluhan tumagal matagumpay afp
1741,kilala nmin yang kakilala lutang
1475,nku movie yun politiko cla bnoto kiko
1380,trabaho .... bbm
94,thnk lord
1291,lakas mgtali tali sinasabi opurtunista kpg noynoy didikit pbbm disikit kupo
975,brain
368,pogi mark
2352,evil
1732,obvious pinkish
538,bbm sara solid
2286,paawa effects
700,tama lods tao nagkakamali hindi perpektong tao
1968,kunti
2117,hay naku photo purpose ....
686,sasabi kamali nang content creator finolow
1324,clean good
1510,yesd
1674,lol adik
2347,yng tumututol ayw yumaman pilipinas
2321,mahina kris literal
717,kagabi nakitawalastik btw love hat
1303,busy life back life new year
513,totoo merry merry christmas
16,big check
971,bombilyang dilaw gamit led mas maliwanag samin
2268,chakabride
2262,uso balimbing nman .........
626,gabby nagmana pati kabaitan suplado
1935,naku ..... bobo tao ..... halos alam tlga sakit noynoy aquino .....
273,yehey
1495,sumakay tpos nakasunud sasakyan nkpg pic lipat sasakyan
956,call
1131,count mark
468,best christmas gift
1698,tao puro reklamo puna pbbm
2058,hay nku money gold bbm adjust sayo
2336,magpaalam kayo dilawan tapos
1209,hahahha
253,one month celebrate
413,ganda lalaki
1066,vote manny dept water spokesperson
1689,karma real
1156,minktae
761,sasabi kamali nang content creator finolow
1529,create jobs
2394,drama arte
821,bwal syang magbus trip nyang nagbus basehan yaman bansa pagakakaroon sasakyan kundi pagkakarun maayos publc
2183,leni lugaw ttakbo ulit aga
503,yehey
440,well said kakagising idol
1060,manalamin muna riza makikita cno tlg
955,sandali pagout magreact ready love
1237,ind tapos
1440,fantastic fantastic fantastic fantastic elastic elastic elastic elastic ring ding dong ring ding dong
2248,nako banal rin bus sinakyan lenlen maya2 rin museum bus yun
34,tama decision vpsara give another chance needs guidance surely hell fine
1574,exposure toink ....
559,toni gonzaha wla siniraan toni
1536,wheels bus
2186,epokrita
1782,sakaling omobra ulit dating drama
2228,knowlang alam mong sbhn
231,best christmas gift ever
549,wala bang car dba galing vacation abroad tapos bus
360,mabuhay pilipinas god bless philippines marcos
954,shuta ahahahahahahahahahahaha
1801,paawa sus wala kotse imposible nman wala
824,lenlen strategy nanalo pakitang tao anak nyan doktora harvard
1862,paawa effect
348,nice one idol
62,toni gonzaha wla siniraan toni
2150,aabot 2028
1453,taas pati paa hahaya
1699,dont justify unjustifiable confidential fund
1448,call wag kaming hamunin
772,leni cge nlng presidente
765,shawe nadali kakie
1228,wala kase kayo suporte kosa unity kau bagay yun yun
1457,tagal cory pwesto hindi pinaimbistigahan tsaka parang tape
1398,norberta amo
1249,paawa mapansin
1790,pulls escort sasalakay babaril wala syang aksyon imbistigahan
23,love song much !!!!! kinda song start yourr day beautiful
572,hail yehe
1258,hehehe
950,sbihin sna dinibdib ikkaso lht sknya
1185,tama kailan titigil
1367,nagtago
838,aluminate real
1986,ndi kalevel wag mong ipilit
739,nku wag awayin dilawan pong dilawan close pbbm ngaun
1573,simple talagang bys sana nang nagpost nakasakayan man sana meron nakavideo nakasabayan
1181,delikado taning bka mapalitan puesto
2169,josko pang naka mapahiya
1521,sinubukan !!!
1605,kunti
347,owner bus
1895,hangat yellowpink hindi mawawala magnanakaw
659,sumakay bus mananalo susunod eleksyon
831,hahaha parang
