,features_string_format
1438,wow otso enedoro
1177,artista
1187,dreams ....
929,natatawa tatlong wala bang
816,early
440,time bam maganda ekonomiya rin tinuloy dami palang tinuloy
887,asan 10k
916,twin brother aquino
1107,yellow hypocritesdi maintindihan naniniwala kanilaay pink
646,kala butters
749,baby fuentes bambu oil
1358,meeting kayo
919,negosyante aasenso subukan magnegosyo
430,pesos negosyo
1435,best actor
139,1v1 idok
108,vegan gonegosyo aasenso
1394,sinu
1380,rastaman
1417,mam imelda said divine justice waited patiently god made possible marcos back years sttonger ever
1203,kailan timing bam hindi naipush dati
622,well
1384,tumatahol pulangaw
573,pati building paligid tao pati kuryente poste
992,salceda rep gsis twg
113,fyi tumulong tnc dota players kuku armel gabbi tims maka punta ti9
215,thanks aquino
127,usapang esports solid bam
276,rip
545,gita
958,realtalk
361,thank supporting
52,bigyan bonos yarn
557,afk
713,anu bam asporing president aquino clan
1381,matatalinong tao silang uto uto
671,anu bam asporing president aquino clan
670,salceda rep gsis twg
318,bam nasa likuran kita kanina
506,maui rec create
90,supporter
636,tres flower
157,canned goods negosyo
890,baby fuentes bambu oil
972,gita
193,treding twitter scripts captions
971,nanay cristy
266,nice nice
114,maybe hes fan sport need negative comments people
444,!!!!
429,manage team kesa senador bam esports
107,enjoy game bam sayo nakapag berlin championship valorant team salamat supporta simula dota hanghang
665,2016 yun effect fpgma
270,1v1 boss
479,pumayat bam paramg tumaas balikat
421,canned goods hoping praying mapili maraming slamat negosyo
859,10k nnmn
512,asan 10k
1114,traydor
660,pdaf legal
758,sorry
1108,bobo
1100,malayo kampanya
851,bagay boy 10k
862,asan 10k
978,love mritess
238,canned goods maraming salamat negosyo event naway mapili nang maipandagdag maliit tindahan
541,esses
1366,sana presidente pbbm ngyon nalaman totoo
658,tres flower
575,tama
986,tres flower
1130,malapit election hahaha
1119,dkn mananalo ulit .... congress stage pede baguhin source funding
687,6years need maka bawi
1202,karpentero
355,bam kayo nalang magpaganda tournament stage mpl hahahahaha
911,bigla narinig gadon
1418,bbm sakalam maharlika
236,kuya dami magagalit sayo nyan gwapo kapa heheheh
1382,meeting tagal
476,koto
480,sama niyo next time beke nemen
994,twin brother aquino
1246,great pretender dilawan malapit kayo maalis
611,love mritess
1313,kita love pinanauod blacklist
1078,kunware
793,early
560,namamasko
178,nnmn uusapan next live
1355,nagbabago apo bam aquino hindi sitwasyon smooth know also phils facing crisis
76,bam esports
53,salamat bam aquino bait pagpalain kyo lgi diyos
349,tama bam iisipin situation
20,sagot pesos
897,bigla narinig gadon
96,pabuhat lods bam tank user
1475,papakitang tao election umay
1086,makating bulsa
369,bam esports !!!!!!
144,gamer bam malakas sumuporta esports
604,gadon sakalam
762,padding
1223,pakitang tao tumagal buwan
1120,lopangu
310,kuya bam salamat pagsuporta gaming community
546,hindi sandro nagpanuakala 1st lady lisa araneta marcos
424,answer pesos sagot hoping win
1149,hindi mananalo bumoto wag nilulumot kaka panira
225,mura horror
462,particular team kayong sinusuportahan
744,atty gadon pasok
1025,pakitang tao malapit yubg election
1335,lawmakers time law breaker
1243,kurap
128,thanks support
1441,mapagoanggap
982,gita
899,sorry
1208,hangag
1278,asus ngsalita
555,sorry
721,kala butters
626,ganda
1235,noway
955,realtalk
1265,mndaraya tlga kwatan
171,tama bam aquino pera miyembro
1110,exciting part
527,twin brother aquino
334,bam rank game
695,early
759,early
255,duterte free tuition patawa
628,padding
1002,acting tama
1490,strategy magaling
1206,project ata
511,sorry
1128,itlog pula ???
161,vegan negosyo
1012,bobo bbm president
528,kafatid
1005,saklap sakit tiyan kakatawa babasa comment puro dds content dilawan
711,kala butters
119,ewan ayaw intindihin mali
450,thank sports advocate bam
1498,corruption pakitang tao dilawan
558,6years need maka bawi
810,love mritess
457,!!!!
472,pessos
1043,construction worker nanaman supporters bbm inaapi tapos gagawa issue susupportahan mangagawang
1411,relo nakasira karpentero
674,well
1331,lugaw utak
1196,mapagpanggap
1304,magaral hindi nabubudol masasamang nilalang
856,manny pacman president
624,kinamatay late pres noynoy covid
81,fan thank supporting community
582,salceda rep gsis twg
745,natatawa tatlong wala bang
1264,bbm risk taker salute president mabuhay
602,early
152,awit pinanood blacklist tnc
1363,corrupt tamaba
735,negosyante aasenso subukan magnegosyo
1147,iyak napahiya todo
1182,nasapawan bam aquino
1404,great pretender lalakas photo ops pwe
730,ganda
698,skill
973,ganda
675,afk
1317,topperware kyo dyan
1449,paghawak martilyo hindi alam pano buong bansa
642,anu bam asporing president aquino clan
946,fitflop
1385,yawa
1314,answer bobo
1260,ulit kayu wag
229,yunh sbi madam imelda
925,well
607,sorry
891,love mritess
432,pabuhat lods bam tank user
1228,ganyan pagn election
1391,doble cla
1274,pdaf wala reklamo taumbayan ndi nakinabang dun napoles
257,thank bam
649,ganda
681,esses
1432,tagal pinapasa batas mangayan nakakasira tao imbesna makabute
1360,plastic pta
963,next kiko anjan
1261,drama
1127,eliksyon
638,fitflop
1328,31m silent smile trust bbm maharlika
202,mythical glory 2879 points currently ign thebamadebayo
273,main boss
1292,investible funds gsis kukunin hindi mismong pension mas right timing iinvest perang bear timing
187,vegan negosyo
784,salceda rep gsis twg
1311,magpasa nalang law tandaan bam wag wag tatakbong presidente magiging joke bansa
80,nko mgglit ggwa nnmn nng wento pulahan kaan dhil dilwan btas nng libreng kolehiyo nng aaral
1109,corrupt
74,wow supporting sports thank
1337,best acting goes ......
847,manny pacman president
1287,answer plastic answer papel maling paghawak martilyo pangpinta palay semento weak hands parang papel shiny hands like plastic
1017,gawain taong mapagpanggap
677,baby fuentes bambu oil
1066,naniniwla naniniwla jan anu
317,rank
40,niyo iniisip kukunin pension pera intindihin niyong mabuti sinabi cong sando interview
807,love kayo
79,apaw apaw tao ......... sisisihin true
269,tama kau ayaw kinukontra
792,pdaf legal
1102,hunyango
1396,timing swf yes yes means yes yes youll takes
207,wonderful xmas
1283,bogok
1115,sana .....?
1470,natawa 400k
799,kafatid
35,answer pesos
456,thank sports advocate bam
803,gita
1041,thank ambag tama
222,tama bam kunti utang pinas lalo nat malaki inflation
1410,magandang sakyan tong issue nato popogi nxt election
1359,ans bobo
651,twin brother aquino
1038,tae
1210,mar ipalo nlng martilyo ulo
68,p50
384,penge pang skin aquino
727,namamasko
148,maka man hanga tlaga support niyo esports bam
352,maharlika wealth fund
827,ganda
941,twin brother aquino
221,bee seat
790,manny pacman president
447,maalis muna corrupt officials corrupt mahirap magtiwala mayaman sana bansa corrupt
943,sanaol ligtas
209,thanks bam supporting filipino players
1084,kala butters sorry senador
443,pera pasado agad batas 50yrs mapasa
809,skill
426,pong team niyo
12,vegan negosyo
593,manny pacman president
673,fitflop
898,namamasko
774,gadon sakalam
568,6years need maka bawi
331,solid tlga esports
1032,bobo agad naisip atty gadon nagsabi ahha
1049,audacity
110,mabuhay bam !!!!
408,kmukha bam
1491,never charot
866,next kiko anjan
1395,trying hard
1190,mapabagsak pinas
551,nanay kuya jobert kristy fermin
4,former bam aquino naghehelp man esport players natin makasecure visa compete internationally
905,padding
451,supported nyan future mobile gaming crypto etc
72,yup version bam national budget kukunin hindi pensioner gaya
13,thank support ing community god bless
928,twin brother aquino
984,pangit lbms google greatest thief world
1253,sayang naabutan noynoy pagkapresidente bbm
70,sagot pesos naway manalo pambili maintenance
284,treding twitter scripts captions
380,ginawan hero shhees autopick tlg sakin
365,!!!!
550,tres flower
1233,meron meron
99,nko mgglit ggwa nnmn nng wento pulahan kaan dhil dilwan btas nng libreng kolehiyo nng aaral
732,talidong
394,wow supporting sports thank
775,negosyante aasenso subukan magnegosyo
570,padding
341,bruhc vegan
656,10k nnmn
942,twin brother aquino
62,far know bam natulong problema visa pinoy players international esports
1054,rin sorry
1478,stres pinklawan dilawan
869,skill
321,ayaw mali pangulo hirap
11,pesos facebook account
353,bam great job organized ignites volunteerism heart rich poor filipinos mock cant deny
1407,answer plastic gadon
158,bruhc vegan
1397,nagpapahirap bansa
563,hello garci yuta
1217,nahihiya niyo jusko
395,nuod recruit hayst
1387,guys hindi nanan konsintidor bata sana nakaka vote use vote wisely
1413,politikong panay photo ops
168,tong mamatay tatay digong bumagsak tuloy bam mukhng tagilid balingo maglakad
274,tama !.. garapalan
672,kinamatay late pres noynoy covid
1087,flash inuduro kayo
1099,admin pabor dilawan nsa coment section puro bbm suporters outch
947,namamasko
490,bam dont like time comes support youve esport community impressed !!!
324,bam maraming salamat supporta liga esports mabuhay kayo padayon
970,kafatid
149,man dilawan appreciate apperance like suportado esport specially
1220,gma nakawheelchair neckbraces whole term pnoy himalang gumaling time prrd taz pasayaw2 party
291,rip
1191,220 pampanga rally sagot nmn pampanga police70
248,bam kaisa senador sumusuporta esports dota2 days naka support
484,sana tutulan maharlika fund maganda objective source funds kawawa kaming gsis pagibig umaasa
19,thank bam !!!!
195,sana tutulan maharlika fund maganda objective source funds kawawa kaming gsis pagibig umaasa
750,mom
533,padding
425,bam kaisa senador sumusuporta esports dota2 days naka support
987,pati building paligid tao pati kuryente poste
815,early
1477,kanta muna guys tanim bro pukpok nakayuko magpintura makatayo maghalo nalang hapon
1248,manloloko
1184,pagpag
1437,answer dinakamiutouto
439,pogi magmura
576,nanay kuya jobert kristy fermin
839,bigla narinig gadon
1412,salamat pangalan iboto
237,thank bam making possible esports players
829,6years need maka bawi
1330,laws npa orligarch
742,namamasko
1494,naiyak 100 kaming mulat mulat dead yang edsa revolution nauto 1986
138,since dota days bam thanks always supporting esports philippines
777,please subscribe lenis youtube channel thank
923,sorry
949,hindi sandro nagpanuakala 1st lady lisa araneta marcos
783,tres flower
504,love mritess
455,galing tunay followers esports followers thanks bam
30,pesos takoyaki life
302,thank bam
1156,inodoro ikinabagsak
614,hindi sandro nagpanuakala 1st lady lisa araneta marcos
1144,bbmduterte 2022
1316,pinktae
140,answer pesos sana mapili pandagdag need nang babys
75,salamat senator bam aquino
1186,mentor aquino acapagal
845,pangit lbms google greatest thief world
1059,malapit eleksiyon
179,thanks always supporting esports industry bam
483,honorable people indeed put full trust
813,natatawa tatlong wala bang
608,namamasko
116,tama bam kunti utang pinas lalo nat malaki inflation
1159,inidoro
151,galing bam aquino
606,atty gadon pasok
438,thank send bam dota esports wwlang kupas supports
930,twin brother aquino
534,10k nnmn
1446,plastic ...... pakitang tao .....
1082,dilawabubu
1306,bwahahaha grabe labas litid bam aquino kasisigaw !!!!!!!!
715,love kayo
1285,hindi napukpok kamay mar roxas
125,tama bam iisipin situation
722,well
1376,kaplasrikan !!!
588,pdaf legal
272,ans vegan
1369,aleksyon tama
1256,mapag pangap key
102,bam great job organized ignites volunteerism heart rich poor filipinos mock cant deny
863,next kiko anjan
1425,great pretender
277,pls support mobile legend way support esports pls
1398,tama gloria
1053,bangkarote central bank marcos magtiwala magnanakaw
112,kumukuha kapal panga bam tibay bagay knya lodz
771,pdaf legal
1362,kurakot
1010,kinarma pumangatlo hukay
1136,aligaligon
781,pdaf legal
1160,cancer
640,atty gadon pasok
1039,tamang
1377,mapag pangap
1318,dilawan tactics since 1965
1168,first mpl tapos puro trashtalkaj agad saya niyan
1222,past muna taong maliban nalng kakain pagpag
381,bam
1434,kikilos camera
884,tama
924,tama
5,kaylan oknapaka bitter iyak nlang matagal2 mka pasok
469,man dilawan appreciate apperance like suportado esport specially
1325,b0b0
156,bam dis
38,lutang gets
191,suportado bam
87,idol pengeng skin
800,talidong
1106,liar
530,hindi sandro nagpanuakala 1st lady lisa araneta marcos
1031,laborer
347,suportado bam
993,6years need maka bawi
703,atty gadon pasok
1171,fact
532,sanaol ligtas
261,free tuition college bam yun sinasabi trolls
788,bamby fuentes bamby oil
521,gadon
175,unexpected
54,pogi magmura
1272,bagay jan
1162,akala nla maano tao maraming pupunta dun
1051,atty gadon knows answer
1007,marites
1183,way
1431,house bill 6398 !!! even trust government run henchmen dishonest pricks
914,manny pacman president
537,mom
292,fan thank supporting community
682,6years need maka bawi
305,fave team
1234,plastic
518,twin brother aquino
267,maka man hanga tlaga support niyo esports bam
697,asan 10k
390,duterte free tuition patawa
746,ganda
49,dyusko gwapo bam aquino
454,tama kau ayaw kinukontra
226,stayed blacklist tnc game mas wild tao supporting esports scene
1152,tama kukunyari nyu
1493,papansin
819,negosyante aasenso subukan magnegosyo
508,pangit lbms google greatest thief world
1015,thank supporting mpl thank pinatalo leni
414,salamat
250,looking young handsome bam aquino
1209,kyang gawin
612,kafatid
1064,wow gagaling pakitang tao
197,pesos takoyaki life
729,kala butters
1076,sana masipag yawa
755,manny pacman president
580,forst
917,padding
129,wala finish
1456,aquino
995,gita
434,aga nangangampanya grind
1400,leni lugaw
661,ganda
1262,alam kun kayo pumupinta ospital pinagawa macoy samantalang pinagawa cory rebulto inubos laht asset pilipinas
678,sanaol ligtas
1201,mar marunong humawak nang martilyo
67,kala bam aquino
843,namamasko
1085,tgal pwesto wla mnlang ngawa
1214,tanga ?!?!
233,supporting esports bam
147,better source frm various funds safeguard stronger
287,pesos love kind food
26,san ginaganap
1251,syang tunay mahirap paniwalaan wala man nanalo
492,thank supporting esports bam lodicakes sobrang kita support guro knowing malaki rin support esports
304,pesos sana manalo
510,negosyante aasenso subukan magnegosyo
58,timing bam tama
192,31m fund tutal unity
367,pano makanood mpl
542,asan 10k
268,bam pupush esports salute sayo
515,sorry
220,answer pesos sagot hoping win
1163,answerelection
123,god bless bam
210,hinahon casters host viewers andon kayo
1298,pinkawan
1060,kano bayad sayo ???
69,debate bam sandro please want witness sandro stutter like father
1259,bam komunista aquino
578,ganda
1241,kinginang marimar halatang photo ops sana inayos man hand placement martilyo
1379,namang magtatanim palay naka pants tapos mahpipintura talawang kamay tapos lalay nanga hallow blocks naka gloves
569,well
643,please subscribe lenis youtube channel thank
686,please subscribe lenis youtube channel thank
621,kinamatay late pres noynoy covid
203,thank support ing community god bless
1019,magbigay trade mark aquino nagawa
1255,ewan nalang
980,realtalk
1254,mapagpaimbabaw
264,rip nalang
519,10k nnmn
180,free tuition college bam yun sinasabi trolls
754,maui rec create
1282,hndi nakikitarandam hindi kagaya rehab programinsfractura libreng sakay cguro pnoy polpol proyekto car collection
61,free tuition college bam yun sinasabi trolls
724,gita
1205,malalapit halalan
659,hello garci yuta
481,gamer yqn
1473,election
1048,tama accla
285,iiyakan dyan pension funds samantalang matagal ginagamit pera hindi alam
427,even fan aquino thanks supporting esports since dota2 makakuha visa pinoy team
1081,basta
633,hindi sandro nagpanuakala 1st lady lisa araneta marcos
635,forst
1266,sip2
1231,nakapag aral libre duterte
1480,plastik
1211,answer election
684,pangit lbms google greatest thief world
1288,bbm bong marcus
115,nice piece legislation nakikinabang hindi batas wlang pkinabang madla pagpalit pangalan naia
211,omg
1436,nagpaka aron ingnun
543,manny pacman president
45,bee seat
1151,photoshoot
312,sesh
909,namamasko
164,bam dont like time comes support youve esport community impressed !!!
535,pangit lbms google greatest thief world
7,since dota days bam thanks always supporting esports philippines
494,answer pesos sarap takoyaki
235,kmukha bam
1026,hypocrite
1281,pretentious
1072,artista yarn
523,sanaol ligtas
212,hay lalong dagdag pension kikita gsis
680,love mritess
486,malakas kaba
1111,mapagpanggap 101 makasarili 101
969,boy adik author gawing university recto
1175,disparate
132,answer vegan
228,tama tukayo
1483,ahm .... plastic
1229,kaputanginahan
131,cool
1050,sana best actor
1073,salot
1134,leni tinaguriang ina bias media
936,boy adik author gawing university recto
1155,plastic dilaw vuvu cancer
920,early
37,pesos facebook account
260,malakas kaba
1077,pakitang tao yarn pang documentation
342,slamat bam
1353,bbm
320,nko mgglit ggwa nnmn nng wento pulahan kaan dhil dilwan btas nng libreng kolehiyo nng aaral
664,boy adik author gawing university recto
28,vegan gonegosyo aasenso
776,pangit lbms google greatest thief world
553,salceda rep gsis twg
1167,mali magpasa
915,wow nka wheel chair ngaun
1409,lugaw
544,love mritess
431,iiyak pinklawan nyan lods real talk
500,ganda
592,twin brother aquino
1472,cosplayer
485,aral matalino wala nang mauuto npa house
1020,photography
405,tama dyan nalng focus suportahan mplph
892,pangit lbms google greatest thief world
167,pogi bam aquino
822,nanay cristy
653,wow nka wheel chair ngaun
998,wow nka wheel chair ngaun
770,realtalk
824,bamby fuentes bamby oil
524,pension kukunin
567,6years need maka bawi
407,aral matalino wala nang mauuto npa house
154,wow
983,hello garci yuta
804,love kayo
262,hinahon casters host viewers andon kayo
383,pesos takoyaki life
620,afk
445,pesos
18,playing mobile legends bam
289,saya sana
757,tres flower
766,10k nnmn
585,gita
231,nice cosplay
714,wow nka wheel chair ngaun
433,tama kau ayaw kinukontra
1333,mar hind marunong humawak nang martilyo
738,talidong
1457,cap
1468,election 2022
448,love
234,usapang esports solid bam
1194,ngaun wala paren kaung kadala dala
876,tama
1180,dilawang plastic
641,baby fuentes bambu oil
1146,right timing pbbm president maraming investor nagtitiwala knya dala pbbm lakas knyang ama fpfm
33,yup version bam national budget kukunin hindi pensioner gaya
514,baby fuentes bambu oil
699,sanaol ligtas
1249,still
396,duterte sign law pnoy hindi priority maraming private school maapektuhan
798,6years need maka bawi
694,namamasko
1487,photogenic
726,10k nnmn
487,answer pesos sana mapili pandagdag need nang babys
249,kumukuha kapal panga bam tibay bagay knya lodz
748,fitflop
251,nilabas maharlika wealth fund pinaliwanagan muna taong bayan ayan imbis maayos sana dami tuloy kontra
1176,bad timing nasa pwesto peru nasa pwesto wla namang
398,kadaya pinanood blck char isama next watch
411,bam pupush esports salute sayo
1055,plastics
177,usapang esports solid bam
1267,please wag mahaluan politika community please
