,features_string_format
1720,salceda rep gsis twg
748,diba nanalo prrd maygkaka martial law ulit nagkaron marawi kaguluhan tumagal matagumpay afp
2251,ngaun wala paren kaung kadala dala
1408,love kayo
2316,magpasa nalang law tandaan bam wag wag tatakbong presidente magiging joke bansa
534,bye bye joma
1499,round round
580,ngawa pinkiss
2678,hunyango
2395,dilawan hambog
697,answer canned goods
2064,kase iniiyak kase pension kukunin
1992,repair sakalam
1567,revtax mayor palang pinarada bangkay kumander parago
2272,nagagalit hindi part atty leni govt trysikel kariton pera gamit
756,1v1 boss
1943,create jobs
2476,hunyango
1828,sobrang dami wala silbi magagandang batas natatabunan taeng batas
2682,solid marcos loyalist prin kmi
2650,dont tolerate wrong
1644,hayop
447,sayang boto leni
688,tumpak
1304,pangit lbms google greatest thief world
1181,namamasko
1945,pasikat
1855,god bless maam leni family
717,canned goods hoping praying mapili maraming slamat negosyo
1753,hahahajahha
2240,gapalakas gamers
2207,malapit election hahaha
1495,hahuhu
2076,sana best actor
427,siguradong talo
859,salamat napakagandang video
2389,dilaw
1733,kala mark tahimik
175,part 31m pro nanood trip pinoy movies
142,pabuhat lods bam tank user
232,dumi eijansantos manalili vii monee
1868,need action education background state man kuno
678,npa parinno permanent address
2552,basahin ayan sinabe sandro marcos
2504,pagka sinungaling enrile binabaliktad kwento amang mijares media reporter
1533,kol away kaaway buhay samantala kilala amores tao sinaktan
1222,madaling hulaan presidente binoto true
2408,leni wala bang sawa nako lugaw namn champorado wag puro lugaw bagyo nanga babagyuhin lugaw wag ganun
2553,great pretender lol
1105,pansin buraha
1891,layo ganda kaptid nyang disiplina
249,rank
1008,kuya rence wala reaction vid mood sampler girls generation
769,alam
1445,hindi sandro nagpanuakala 1st lady lisa araneta marcos
1640,indorser
244,canned goods negosyo hoping mapili
1808,umatend smni debate
1660,bwahahahahaahahahahaha bambam aquino gaga
773,nakakatawa tsaka judge tapos term dmi namng salot banda kontrabida
1787,natatanga sakanila totoo
691,nagminatay nmn gani kris dadamay
2326,authored bat ibigay credit researcher lawyer nagsunog kilay pera ambag gosh tas ibribriefing andun
2117,fake !!!!
551,seryoso boss patay
2399,mar roxas ganyan humawak martilyo
2095,bbm sakalam maharlika
104,shawe nadali kakie
1174,good gabi buds
277,nakakatawa cla boss mark
272,saya sana
2190,trabahu bwuan dilaw construction ongas panday leni great painter nman magsasaka bwuan
1906,alam kng anu dilawan pink pangampanya laang
1414,tumingin kayo
1724,nyeh
160,sent
2349,surplus pano nalugi
2546,leko
2079,first mpl tapos puro trashtalkaj agad saya niyan
1814,sinungaling
2018,salamat pangalan iboto
1841,answer dinakamiutouto
1305,pamasko
1752,golden era hahaha makabili basic needs mahal paranf goldnag bigas nbigyan knb tallano gold napala
2416,ngayun tamang timing crisis mababa presyo financial market
263,pla hubad apo bbm social media bumuto hubad .... kaloka
933,met joma kid know joma gave fruit
1850,epal moves
1589,hahahah
683,kuya dami magagalit sayo nyan gwapo kapa heheheh
2247,election nanaman
1897,hunyang9
579,asaka olat nmn
396,patay
943,pasko reunion
2130,kyang gawin
1076,ser
2061,"totoo galman pumatay patay galman dalhin dyan tarmac shooting ,,,"
612,nasapian nanaman nanaman alam nanay lenlen
2413,wla kakmpi bam death lhat lalo manalo
932,guapo
380,dismiss dibah
1740,apaka
186,mapag usapan
1140,duterte nakaupo lalabas anak bonjing
1472,matching
2657,cory papatay ninoy mahalal pagiging presidente cory dimonyo
2439,pano magrush bills involved pera
847,sana pagkawala tuloyan bumalik tahimik pinas
2277,job demolish anyone gets way
217,lol mahlg gala lalo maliliit
2599,ali paghawak martilyo
1392,padding
2049,square inch square ins
554,course tgay bahay
348,move kuya nagpapatawa compare kris youre dot
843,best ever tatay asawa cory nalaman bayan pumatay namatay best yun
407,300 quickpanalowithgonegosyo
1826,topperware kyo dyan
1355,gadon
1721,gagi hahahahahahahhahahaha
1600,well
1802,bbmsolid
2145,mention kapa tanong dimo sinagot basic proud kaba soj hindi hirap sumagot
71,suportado bam
2273,yellowish
2203,bayani gaya boss binabaril luneta bayani diba pin
1197,wahahhahahah
2503,minahal asan cla ngaun
2424,wla mgbabago bbm tlga mgbabago
997,matanda enrile nauna
2523,answer plastic
1568,hahahahahahhahaha
821,lumabas totoong nangyari
1522,kol away kaaway buhay samantala kilala amores tao sinaktan
2687,disparate
891,debate
1,lutang rin
2371,dilawan parin
1468,hello garci yuta
1799,bamby fuentes bamby oil
1026,clean good
1258,saang mall
1852,tanga ?!?!
1928,pakawala bbm bam aquino loob partido leni anay pugad anay leni queen anay
1022,hindi sandro nagpanuakala 1st lady lisa araneta marcos
1368,yes ibang .... bodol
1165,sandali pagout magreact ready love
2459,dilawan kayo ate
1134,tawang tawa comment kilala binoto based comment bawal shushungashunga
464,basta gumaganda bansa ngayun pbbn
1817,btw video ipinakita lucianda massacre
1835,traydor yang ninoy halaga sinoman pumatay
1353,hay naku
495,meron man agenda whatever good bad respect natin trip
194,publicity yang kaawaan netizen
2617,part bong bong marcos patay ninoy hindi makakapag pabago desisyon iboto bong bong
389,liwanag dilim
1518,bwahahahahaahahahahaha bambam aquino gaga
1859,efficient always
2638,mar hindi marunong humawak martilyo
404,juice coh
2136,wala bahid fenks
2529,loob eroplano binaril totoo mayroong naka tutok ninoy marcos bintangan god knows
649,sagutin abangan winners !!!
2028,meeting kayo
883,real talk tra trabaho bumango pangalan next press election
1065,saang mall
2053,sana .....?
2592,trying hard
1422,dol umaasa sayo charot
283,bagong propaganda nmn
1927,yes bbm sarah solid
489,madam lenlen malau election saka kng darating election inday sara makaka bangga
376,buti nalang kamukha
1540,madaling hulaan presidente binoto true
1821,masama martial law meron padin consti cory
1084,whats soj
1700,kuya rence wala reaction vid mood sampler girls generation
1252,kol away kaaway buhay samantala kilala amores tao sinaktan
2178,never dilawan
473,wala yata qualified
388,nagpapapansin next election leni
338,nice gamer
714,even fan aquino thanks supporting esports since dota2 makakuha visa pinoy team
2230,investible funds gsis kukunin hindi mismong pension mas right timing iinvest perang bear timing
812,anu ngaun masasabi bam kpag explanation gagamitin unlike ngaun alam alam natin gagamitin
1015,pension kukunin
1146,hero john amores lampa cry babies benilde players
747,bam fight ipag manindidigan gayahin nonoy
509,patawa namantama pbbm vpsara parin
136,basta wait explanation mama ekonomista
2410,become nagbubus province manila natigil
1830,btw video ipinakita lucianda massacre
1195,goodluck nalang
1094,realtalk
2256,nagpalit kulay dilaw laht kasama kamera
2679,sleeper bus papuntang bicol
1793,payr
685,alcohol cologne answer bam sana manalo
111,since dota days bam thanks always supporting esports philippines
1236,fitflop
2194,kin inam
669,last man stand
2345,reenactment
476,yes tama
1411,still waiting ready love reaction
962,????
1231,salceda rep gsis twg
117,kampanya congress nagcocommute ending picture taking pla pra sabihing nasa laylayan
2451,tee
1532,natatanga sakanila totoo
1964,kaplastikan
518,hindi bigyan chance maka ginagamit tao
2616,pinktae
1997,kala totoo ampt
1401,anu bam asporing president aquino clan
143,kupal leni
1145,hahahahahahahahahahhaahahahaahahaaha
1278,sna mpansin nio pki check nio uniteam bataan name ofw taiwan bbm supporter
2021,hihihihi kya len len kawawa ksi cnunod nia bambie hihihi
