,Comment
1546,received order disappointed box already opened crumpled item scratches think returned item
1058,try
382,dahilan kahirapan makapagtapos aaral nasa tao ayaw aral
2968,uso balimbing nman .........
1242,goodluck nalang
445,like
1135,school available
685,omg embarassing shet
3149,senator
3332,patawa namantama pbbm vpsara parin
2748,plastic !!!!
2489,lopangu
2543,kagagawan side cory yellow evil binabawian cla inuunti unti sunod nyan naniniwala yellow evil advance rip
1589,bad timing nasa pwesto peru nasa pwesto wla namang
2701,grateful former pres duterte naganap
2497,manipis tapos 9pcs pack white sayang manipis madami akong order
1245,nakaalam nyan program iyan
1138,ood umaga mark
834,kinda irritate skin perhaps sensitive
2554,one color aappear thought multicolor bit disappointed kase hnd nagblend keyboard binili hnd nagfufunction button magiba kulay sad
158,bambam aquino realquick
3512,sasakyan yata naka sunod
3697,oracan
921,nothing special need vga cable cctv system monitor seem well made though
593,rin
1383,cory law 1987 constitution npa tegi martial law
869,kala butters
3482,bam thanks support hindi community pti esports general sayang hindi kita rev major 2022
3247,daming ganap mama lenlen
3139,bombilyang dilaw gamit led mas maliwanag samin
46,nastop unifast syc 20212022 wala padin update nagamit pondo ibang keme hahaha really dont know nagamit
529,scholar ???
1649,anti poor
414,aral mabuti
1054,nastop unifast syc 20212022 wala padin update nagamit pondo ibang keme hahaha really dont know nagamit
2062,hindi cardinal rose magkaiba kulay picture
1351,empyerno tatatnggapin buo rebelde ulit patalsikin taning
2960,mabuti natauhan kayo hindi naku buhay tau aalipin komunista
2653,lumabas totoong nangyari
2922,love much surely buy love much surely buy love much surely buy love much surely buy
3594,busy life back life new year
3280,gravih isko gnun deritsahan tlga .... matter wat still uniteam padin
3739,particular team kayong sinusuportahan
310,lspu
1881,naunanpa kesa enrile
3307,2nd till graduate free tuition salamat prrd
1480,wrong order tagal inintay tqpos ganito refund pls
31,applied last year waley
2113,balak patayin hinawakan dawalang pulis kamay ninoy
840,kuya kailan kalang pinanganak 2018 graduate college matagal nayan implement
672,2016 yun effect fpgma
2828,publicity tawag dyn hehe
3827,maayos syang dumating sira thank seller ganda nagustuhan gamitin
1985,think pension come investments
2092,answer tanga
3277,super worth ganda sombra grabi order kayo kayo magsisisisis sobranh ganda order ulit bilis dumating
1673,wala nang pondo !!! scholar ched batch 2021 nagbabayad tuition wala nang pondo
3,san meron naic ganyan
2597,meeting kayo
143,pwede lumapit
2615,manalamin muna riza makikita cno tlg
2605,ekis
216,payr
292,cap nice
1091,bkit binili gamot hiv libre yun vitimens cguro bilihin
769,applied last year waley
2431,hnd nman pla pang teens pangbata size xxl size kasya ata pang 10yrs old kakaurat seller
3464,canned goods
2042,tnx seller sana matagal masira .... nako sira hindi worth
377,good quality kaso hindi tama color order naipadala dark gray pinili option brown nakarating sakin disappointed
2124,enough department water lose
294,hero john amores lampa cry babies benilde players
1710,abnonoy
3353,afford trip stay weeks referring personal trips huh
1657,antagal dumating parcel lumagpas estimated date delivery
3075,ksp bihira cia mapansin
2562,nonsense
2328,good mask manipis tapos amoy pintura man nagamit mask dami man inorder
2311,nakaasar media ngyari mendiola massacre pinapalabas ngyari
1486,nasa unifast apo lyceum wala budget scholar jan
2792,korek ngabpag umuwi bicol gamit sariling sasakyan ordinaryong tao hindi mayaman
1484,kinarma pumangatlo hukay
1829,meron jan kumain baso uminom plato
3344,actually fam suffered martial hate marcos mine didnt dont reason
153,love kayo
1244,nyeh
3704,kasama 31m ala budget kase mas important pangangana nakaka luwag nmn tumatanggap kind merry chr
900,mabilis malowbat hindi rin ganun kalakas maganda quality speaker hindi sabog tunog
2813,maganda fast charger tlg
2728,bkt kcnag conclude agad cla mngyyare pano maaus pinas gagawing way suspinangu2nahan gobyerno
2688,nako magka std joke
3817,rest hell fucking joma sison rot hell
1664,ewan inyo
138,dikit mayor
1482,parang bote nang softdrinks mas mahal plastic
78,kayo naka apply idol nmn pwede guide
3474,tama dyan lodz
2479,naiyak 100 kaming mulat mulat dead yang edsa revolution nauto 1986
2659,haisst iyan
2243,mali binigay size large inorder dumating medium banaman
559,nagtweet former senator bam aquino issue
1079,nmn maayos dumating yun kulay dumating dpat alam black white order purple okay kulay nmn tska delay delay okay den wala nmn kaso yun buti nlng dpa natutuloy swimming nmin balik ecq 2days ata delay oks satisfy padinn
820,kmusta mark
3585,usually tao victim focus sided every situation
1423,maganda sana charger tagal mapuno tapos mabilis masira kaloka
1456,dilawan kayo ate
381,mas manipis fabric khaki color daming sinulid hindi pulido tahi
1293,hahahha
1680,ayaw sara tkip nyangkabliktad mgnda sna
1347,thef
1925,hindi kakampink lods oppose
1309,layo ganda kaptid nyang disiplina
2786,pwede caster
2540,silang matalak kayang isigaw oust bbm dati nagmura prrd oust duterte agad
225,realtalk
2896,present
890,earist applicant sana makapasa
3676,way another aquino
534,hahahahahaha
1059,student loan program baw need ghpn take exam free educ gawas
2232,magmeeting hoy inconsistent script sinasabi anti need natin meeting halatang alam kosa naten
1812,tanga ?!?!
3360,tigil politics tapos election tumulong pababain inflation action puro daldal
664,kafatid
695,sakin maganda thanks seller suki delivery boy
2319,satisfied costomer
2695,jsushdnckdishnskisjshdbjxkshsbbsmxkvkfjnsbsjdjkdndndjhsbsndjudhshjsjshshjsjsj
1092,wala kabang reaction vid ready love
2564,pagnanalo yarn upo tas pasaraps buhay think twice sayang effort du30 administration
3647,edi bus paibang bansa unlimited langoy
2076,dilawan puzzle
999,mabilis matanggal tumatagal kilay pwede price
1824,bbm sakalam
1391,ordered colors one color delivered wrongly black gave blue
3731,brutality
267,item shipped delivered time based estimated delivery date quality masks bit thin ofcourse price since cheap maybe expect good quality item item packed well delivered complete
1444,naku sana pauwiin pinas bangkay ilibing dun libingan bayani
2447,alam kun kayo pumupinta ospital pinagawa macoy samantalang pinagawa cory rebulto inubos laht asset pilipinas
1073,gonzaleslopez
1499,galing joke
323,bamby fuentes bamby oil
3425,paki sama tpos nahuli leader
1854,way alam story
3404,thank magbabalik aral
2281,bobo bbm president
214,packaging good quality ordered color items delivered however upon checking manipis tela shorts
729,pong meaning word college
2697,sana pdi anak dyn
617,ched unifast tes program 60k per acad year
1318,tama kukunyari nyu
2032,election kasinungalinan
3769,aqo
3144,liwanag dilim
253,nman price dont expect much comes sound quality
1022,atty gadon makapagsasa nyan sayang nanalo honvirus
2492,taena pinalabas sniper tumira yun ttukan tapos isisi marcus tunay nagpapatay wangko cory
3034,naiiyak padin nakikita ganto hindi talo kundi nanghihinayang
680,ikli strap face mask gashh oks nothing worry guys uhuh
1539,trabahu bwuan dilaw construction ongas panday leni great painter nman magsasaka bwuan
2028,sorry expect like bought mall last week regarding size palang maliit ganun size size poh subra liit
2364,kunware
1837,makaapply
756,pati building paligid tao pati kuryente poste
