,features_string_format
750,sinu leader niyan
1113,tahimik ganyan lagi
1400,taga kabilang parlor
2499,part bong bong marcos patay ninoy hindi makakapag pabago desisyon iboto bong bong
682,patatamaan kakampink
1848,jan tau nagkamali edsa edsa lubog polopimas
547,lenlen
1809,bbmsolid
1076,sna mpansin nio pki check nio uniteam bataan name ofw taiwan bbm supporter
442,legit 102percent
363,lets patay tlga nice
588,good riddance
179,competition pla anu katips
2500,dpat isma sbi bumaba asan gunman
2633,plano ninoy vedio takbo gunman punta ninoy buddy guard halata
438,yes buti
2100,bbm president
2064,hala delekado sumanim
357,correct convince sara aral tapusin nasimulan
1253,taga kabilang parlor
2278,magmukhng makamasa nilalaro nmn tau lenlen
1945,pulis reaction hinayaan barilin
553,nasa purgatoryo ata
2595,gagawa sariling impyerno kukumpitensyahin taning
2514,pamilya aquino pumtay
696,yellow demons earth corrupt garbage government
2625,mahalaga taumbayan nagawa adminastrasyong aquino puro paninira galit tinuturo taumbayan
332,mahina kris literal
1106,bwahahahahaahahahahaha bambam aquino gaga
2149,bata minulat samin teacher nmin elementary marcos nagpapatay aquino hnd
40,got7 senator bambam aquino
1500,bambam baembaem
1904,idol kaso ayaw nang lawyer pera pera
301,savage
214,political wedding ksp
1988,ehh wow
2303,loob eroplano binaril totoo mayroong naka tutok ninoy marcos bintangan god knows
1551,auq grabe silaa
1267,hyttss
1714,mabubuang jud pinas ganyan
484,omsim
1502,bambam aquini taena
2470,parang kilala lutang
1998,balak patayin hinawakan dawalang pulis kamay ninoy
2416,bwal syang magbus trip nyang nagbus basehan yaman bansa pagakakaroon sasakyan kundi pagkakarun maayos publc
980,waiting magpunta mark tuan mapagkamalan mark villar tahimik rin yun
1104,ibigsabihin hindi kilala oldies
918,pang sstraw content
1371,argus
2591,naku sana pauwiin pinas bangkay ilibing dun libingan bayani
1553,tanong mahal bilihan ngayo inport ibang bansa sibuyas kinawawa magsasaka pls pakisagot
1015,hahahajahha
1807,create jobs
1991,utos
459,sakit pnoy dont tell kasalanan du30 masisi tlga
2203,alam marcos matay ninoy aquino
147,pinklawan idol 31m umasa support pbbm aspect great country
1068,tahimik ganyan lagi
876,bitter pati mmff dindamay tagal tagal mmff tradition nuon jusko dinamay politika wala nman ganyan dati
725,sibuyas sunod bawang nanaman
330,pinklawan atat atatsila
779,mas atorfee sigaw sigaw kalsada baga try try
2523,nasa alagad dumanib
1219,buti sana single captain
2531,paalala standing kaso wala kayo napatunayan
1046,hahahahahahaha
1231,hello idol
566,dpat dina paliwanagan yang lodz
1896,cory papatay ninoy mahalal pagiging presidente cory dimonyo
1120,see
1721,nagsimula nagpapa veda making things messed recent panis
798,afaty nanisi
47,mas magaling ekonimista cong sandro nlng mali
1735,nami miss boss humandabkau 2025 slots senatorial magwawaldas malaking kampanyahan dun winner
2173,gumagala yun dami kasalanan
2525,totoo sobrang mahal sibuyas umabot 700 kilo yong simpleng taong soj dimo nasagot proud
2683,mas naniniwala kame dating enrille kesa pinklawan
535,kaawaan
215,"aaminin lalo silang masisira sira ,,, sisirain ala natira"
229,lodz tama
777,anjan nanaman idol
601,stock prices low atm therefore best time invest
2182,wla mgbabago bbm tlga mgbabago
1302,hello idol
592,binabalak gawin duterte administration
2232,kritiko yang atorfee tagal
1797,kwento
37,sakit nakuha pang tumakbo paka bise umalis nlng tao pilipinas
2136,tao puro reklamo puna pbbm
1259,kol away kaaway buhay samantala kilala amores tao sinaktan
2228,sniper yun pla tutukan kitang kita cno pumatay
1615,tawagin carpio
166,forever kakampink
29,trying hard pdin till
1972,sayang
1362,akala aquino bambam1a
791,nxt drama mark bike galing bicol manila pautot mamao panis
2151,bbmsolid
1762,haha
1199,bwahahahahaahahahahaha bambam aquino gaga
2517,sinabing 20kilo bigas sibuyas yun
826,lol
2330,wala bahid fenks
71,buhay tuta niyo ipagtuloy leni lutang
329,happy halloween
2433,hala itinatago leni
1819,solid bbm sarah gawa larong pang brainwash filipino ibentang marcos matagal laro
470,nabaliw nyan
2110,yes bbm sarah solid
376,pansin nanay lenlen paawa 3pek
516,course tgay bahay
597,europe tour wala pambili plane ticket bicol manila duality
2634,salamat tapos mundo
1006,kmusta mark
1147,indi hinatid
2664,knowlang alam mong sbhn
2242,research abt wla aus paliwanag wala alam nakasulat dmo binasa bulagbulagan hnd member
727,nagbubus photo maryosepbicolana taga naga kya mas kilala pamilya nyn
1563,tawang tawa comment kilala binoto based comment bawal shushungashunga
1917,yes bbm sarah solid
1431,nyeh
115,ind tapos
2147,nanlibre
1456,mendiola video
428,pra hndi rebelde mging npa
2123,post pics face laugh dont right post pics video come
1101,ood umaga mark
618,panu nasusundan phil star grocery pati punta ibalita
1191,kabbm sara please follow mas pang videos uniteam
1926,okie lets thing victims mendiola masacre shall
1494,pang sstraw content
2026,sinabing 20kilo bigas sibuyas yun
2392,sablay balita
1624,san reaction vid ready love
1321,comment nalang
1918,asawa nman ninoy nagpapatay
573,sure
2140,alam binaboy batas katotohanan mayayaman batas
1274,hahahahhahahahqahhahahahhah
1961,hanging ngaun wala clang napatunayan marcos pamilya pumatay ninoy
1749,alam mass offering churches ..... yun alam nameng assembly
2041,tee
129,qualified baba
2670,hala itinatago leni
2260,fake hero
2423,yng turo schoo gamit sniper gamit
1463,kwento
645,matalino nakaka intindi sara tao deserve 2nd chance perfect tao
1356,hayop
2033,mahalaga taumbayan nagawa adminastrasyong aquino puro paninira galit tinuturo taumbayan
1017,new hair madam intro
